slack_ns,logic_levels,src_router,dst_router,class,src_pin,dst_pin
-1.076,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMD/WE
-1.076,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMD_D1/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMA/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMA_D1/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMB/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMB_D1/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMC/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMC_D1/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMD/WE
-1.069,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMD_D1/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMA/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMA_D1/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMB/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMB_D1/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMC/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMC_D1/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMD/WE
-1.068,22,4,3,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[3].r/u_datapath/east_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_6_11/RAMD_D1/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMA/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMA_D1/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMB/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMB_D1/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMC/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMC_D1/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMD/WE
-1.065,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_0_5/RAMD_D1/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMA/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMA_D1/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMB/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMB_D1/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMC/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMC_D1/WE
-1.052,22,1,2,inter,u_mesh/GEN_R[1].r/u_datapath/west_vc2_fifo/rd_ptr_reg[1]/C,u_mesh/GEN_R[2].r/u_datapath/west_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMD/WE
